fp_cost_assumption,threshold,tp,fp,net_savings
5,0.1,4093,74417,67602.55
5,0.15,4018,54970,192928.79
5,0.2,3956,40778,286646.58
5,0.25,3861,31176,341949.39
5,0.3,3755,24615,376315.55
5,0.35,3668,19795,400183.13
5,0.4,3595,16138,417261.2
5,0.45,3498,13073,424381.28
5,0.5,3414,10574,430064.14
5,0.55,3293,8430,422773.5
5,0.6,3166,6482,421601.59
5,0.65,3033,4882,418752.25
5,0.7,2881,3547,398040.87
5,0.75,2704,2463,376841.15
5,0.8,2505,1623,340551.54
5,0.85,2232,988,294883.6
5,0.9,1903,462,245029.61
25,0.1,4093,74417,-1420737.45
25,0.15,4018,54970,-906471.21
25,0.2,3956,40778,-528913.42
25,0.25,3861,31176,-281570.61
25,0.3,3755,24615,-115984.45
25,0.35,3668,19795,4283.13
25,0.4,3595,16138,94501.2
25,0.45,3498,13073,162921.28
25,0.5,3414,10574,218584.14
25,0.55,3293,8430,254173.5
25,0.6,3166,6482,291961.59
25,0.65,3033,4882,321112.25
25,0.7,2881,3547,327100.87
25,0.75,2704,2463,327581.15
25,0.8,2505,1623,308091.54
25,0.85,2232,988,275123.6
25,0.9,1903,462,235789.61
50,0.1,4093,74417,-3281162.45
50,0.15,4018,54970,-2280721.21
50,0.2,3956,40778,-1548363.42
50,0.25,3861,31176,-1060970.61
50,0.3,3755,24615,-731359.44
50,0.35,3668,19795,-490591.87
50,0.4,3595,16138,-308948.8
50,0.45,3498,13073,-163903.72
50,0.5,3414,10574,-45765.86
50,0.55,3293,8430,43423.5
50,0.6,3166,6482,129911.59
50,0.65,3033,4882,199062.25
50,0.7,2881,3547,238425.87
50,0.75,2704,2463,266006.15
50,0.8,2505,1623,267516.54
50,0.85,2232,988,250423.6
50,0.9,1903,462,224239.61
