threshold,tp,fp,fn,fraud_caught_amount,fp_cost,investigation_cost,net_savings
0.1,4093,74417,40,635962.55,372085.0,196275.0,67602.55
0.15,4018,54970,115,615248.79,274850.0,147470.0,192928.79
0.2,3956,40778,177,602371.58,203890.0,111835.0,286646.58
0.25,3861,31176,272,585421.89,155880.0,87592.5,341949.39
0.3,3755,24615,378,570315.55,123075.0,70925.0,376315.55
0.35,3668,19795,465,557815.63,98975.0,58657.5,400183.13
0.4,3595,16138,538,547283.7,80690.0,49332.5,417261.2
0.45,3498,13073,635,531173.78,65365.0,41427.5,424381.28
0.5,3414,10574,719,517904.14,52870.0,34970.0,430064.14
0.55,3293,8430,840,494231.0,42150.0,29307.5,422773.5
0.6,3166,6482,967,478131.59,32410.0,24120.0,421601.59
0.65,3033,4882,1100,462949.75,24410.0,19787.5,418752.25
0.7,2881,3547,1252,431845.87,17735.0,16070.0,398040.87
0.75,2704,2463,1429,402073.65,12315.0,12917.5,376841.15
0.8,2505,1623,1628,358986.54,8115.0,10320.0,340551.54
0.85,2232,988,1901,307873.6,4940.0,8050.0,294883.6
0.9,1903,462,2230,253252.11,2310.0,5912.5,245029.61
